"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,31934.114713213,,
"BEL","Belgium","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,32934.4304633914,,
"BEL","Belgium","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,33594.8940542657,,
"BEL","Belgium","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,34254.9264483493,,
"BEL","Belgium","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,34957.4977794336,,
"BEL","Belgium","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,36189.8480460312,,
"BEL","Belgium","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,37060.6472381011,,
"BEL","Belgium","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,38353.7867298635,,
"BEL","Belgium","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,38524.7841096539,,
"BEL","Belgium","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,38973.4296559793,,
"BEL","Belgium","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,40408.0240442762,,
"BEL","Belgium","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,41498.9824194618,,
"BEL","Belgium","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,42391.774460859,,
"BEL","Belgium","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,42845.126375209,,
"BEL","Belgium","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,42806.9349673189,,
"BEL","Belgium","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,43413.4214984367,,
"BEL","Belgium","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,44028.6185584028,,
"BEL","Belgium","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,45097.1450470925,,
"CAN","Canada","CPNCU","Current prices in NCU","2000","2000","CAD","Canadian Dollar","0","Units",,,40985.3733728736,,
"CAN","Canada","CPNCU","Current prices in NCU","2001","2001","CAD","Canadian Dollar","0","Units",,,41667.2385561753,,
"CAN","Canada","CPNCU","Current prices in NCU","2002","2002","CAD","Canadian Dollar","0","Units",,,42029.1436855546,,
"CAN","Canada","CPNCU","Current prices in NCU","2003","2003","CAD","Canadian Dollar","0","Units",,,42745.3483804715,,
"CAN","Canada","CPNCU","Current prices in NCU","2004","2004","CAD","Canadian Dollar","0","Units",,,44565.5779085385,,
"CAN","Canada","CPNCU","Current prices in NCU","2005","2005","CAD","Canadian Dollar","0","Units",,,47250.4832972656,,
"CAN","Canada","CPNCU","Current prices in NCU","2006","2006","CAD","Canadian Dollar","0","Units",,,49387.020750184,,
"CAN","Canada","CPNCU","Current prices in NCU","2007","2007","CAD","Canadian Dollar","0","Units",,,51387.3620183038,,
"CAN","Canada","CPNCU","Current prices in NCU","2008","2008","CAD","Canadian Dollar","0","Units",,,53147.5035865858,,
"CAN","Canada","CPNCU","Current prices in NCU","2009","2009","CAD","Canadian Dollar","0","Units",,,53823.5991512645,,
"CAN","Canada","CPNCU","Current prices in NCU","2010","2010","CAD","Canadian Dollar","0","Units",,,54788.2532445889,,
"CAN","Canada","CPNCU","Current prices in NCU","2011","2011","CAD","Canadian Dollar","0","Units",,,56808.8573365677,,
"CAN","Canada","CPNCU","Current prices in NCU","2012","2012","CAD","Canadian Dollar","0","Units",,,58881.3264802873,,
"CAN","Canada","CPNCU","Current prices in NCU","2013","2013","CAD","Canadian Dollar","0","Units",,,60821.0316750777,,
"CAN","Canada","CPNCU","Current prices in NCU","2014","2014","CAD","Canadian Dollar","0","Units",,,62667.215423791,,
"CAN","Canada","CPNCU","Current prices in NCU","2015","2015","CAD","Canadian Dollar","0","Units",,,63642.4821200934,,
"CAN","Canada","CPNCU","Current prices in NCU","2016","2016","CAD","Canadian Dollar","0","Units",,,62692.019083864,,
"CAN","Canada","CPNCU","Current prices in NCU","2017","2017","CAD","Canadian Dollar","0","Units",,,64047.7908515327,,
"CAN","Canada","CPNCU","Current prices in NCU","2018","2018","CAD","Canadian Dollar","0","Units",,,65954.981991181,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2000","2000","CZK","Czech Koruna","0","Units",,,168682.779583323,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2001","2001","CZK","Czech Koruna","0","Units",,,183378.906780254,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2002","2002","CZK","Czech Koruna","0","Units",,,197166.254891958,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2003","2003","CZK","Czech Koruna","0","Units",,,212259.865366347,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2004","2004","CZK","Czech Koruna","0","Units",,,229588.693623659,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2005","2005","CZK","Czech Koruna","0","Units",,,239061.157181205,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2006","2006","CZK","Czech Koruna","0","Units",,,253033.948884383,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2007","2007","CZK","Czech Koruna","0","Units",,,268189.689996771,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2008","2008","CZK","Czech Koruna","0","Units",,,281045.037472081,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2009","2009","CZK","Czech Koruna","0","Units",,,282841.215858907,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2010","2010","CZK","Czech Koruna","0","Units",,,291436.339527087,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2011","2011","CZK","Czech Koruna","0","Units",,,298542.901967664,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2012","2012","CZK","Czech Koruna","0","Units",,,304941.319919148,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2013","2013","CZK","Czech Koruna","0","Units",,,304278.026949148,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2014","2014","CZK","Czech Koruna","0","Units",,,312493.400448066,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2015","2015","CZK","Czech Koruna","0","Units",,,321338.224911115,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2016","2016","CZK","Czech Koruna","0","Units",,,334087.897697886,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2017","2017","CZK","Czech Koruna","0","Units",,,356164.560107298,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2018","2018","CZK","Czech Koruna","0","Units",,,381648.139457041,,
"DNK","Denmark","CPNCU","Current prices in NCU","2000","2000","DKK","Danish Krone","0","Units",,,267894.138126845,,
"DNK","Denmark","CPNCU","Current prices in NCU","2001","2001","DKK","Danish Krone","0","Units",,,276014.981813299,,
"DNK","Denmark","CPNCU","Current prices in NCU","2002","2002","DKK","Danish Krone","0","Units",,,287590.115739523,,
"DNK","Denmark","CPNCU","Current prices in NCU","2003","2003","DKK","Danish Krone","0","Units",,,298302.154531833,,
"DNK","Denmark","CPNCU","Current prices in NCU","2004","2004","DKK","Danish Krone","0","Units",,,308598.082568891,,
"DNK","Denmark","CPNCU","Current prices in NCU","2005","2005","DKK","Danish Krone","0","Units",,,319141.552108407,,
"DNK","Denmark","CPNCU","Current prices in NCU","2006","2006","DKK","Danish Krone","0","Units",,,331722.472344117,,
"DNK","Denmark","CPNCU","Current prices in NCU","2007","2007","DKK","Danish Krone","0","Units",,,341182.569857161,,
"DNK","Denmark","CPNCU","Current prices in NCU","2008","2008","DKK","Danish Krone","0","Units",,,355791.20906463,,
"DNK","Denmark","CPNCU","Current prices in NCU","2009","2009","DKK","Danish Krone","0","Units",,,369032.7411814,,
"DNK","Denmark","CPNCU","Current prices in NCU","2010","2010","DKK","Danish Krone","0","Units",,,382509.613243886,,
"DNK","Denmark","CPNCU","Current prices in NCU","2011","2011","DKK","Danish Krone","0","Units",,,389462.723772303,,
"DNK","Denmark","CPNCU","Current prices in NCU","2012","2012","DKK","Danish Krone","0","Units",,,398105.376085851,,
"DNK","Denmark","CPNCU","Current prices in NCU","2013","2013","DKK","Danish Krone","0","Units",,,403942.344045015,,
"DNK","Denmark","CPNCU","Current prices in NCU","2014","2014","DKK","Danish Krone","0","Units",,,414156.248182844,,
"DNK","Denmark","CPNCU","Current prices in NCU","2015","2015","DKK","Danish Krone","0","Units",,,423072.72443064,,
"DNK","Denmark","CPNCU","Current prices in NCU","2016","2016","DKK","Danish Krone","0","Units",,,431642.590550341,,
"DNK","Denmark","CPNCU","Current prices in NCU","2017","2017","DKK","Danish Krone","0","Units",,,434495.902659864,,
"DNK","Denmark","CPNCU","Current prices in NCU","2018","2018","DKK","Danish Krone","0","Units",,,442623.803831326,,
"FIN","Finland","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,26639.5621990444,,
"FIN","Finland","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,27490.0385707226,,
"FIN","Finland","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,28100.1813070638,,
"FIN","Finland","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,28924.6575653583,,
"FIN","Finland","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,29988.9096523709,,
"FIN","Finland","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,30993.6241086471,,
"FIN","Finland","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,32131.1304267121,,
"FIN","Finland","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,33241.346232151,,
"FIN","Finland","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,34688.7646272865,,
"FIN","Finland","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,35609.6782290646,,
"FIN","Finland","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,36693.0422480681,,
"FIN","Finland","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,38005.3807802278,,
"FIN","Finland","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,39099.8973124212,,
"FIN","Finland","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,39628.5423739893,,
"FIN","Finland","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,40147.575961458,,
"FIN","Finland","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,40694.0421328698,,
"FIN","Finland","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,41188.0636902001,,
"FIN","Finland","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,41285.4617405117,,
"FIN","Finland","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,42122.2846684919,,
"FRA","France","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,25609.2862044471,,
"FRA","France","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,26280.0309910777,,
"FRA","France","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,27217.2963332873,,
"FRA","France","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,27906.4117213525,,
"FRA","France","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,28968.476296022,,
"FRA","France","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,29853.4789067677,,
"FRA","France","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,30841.9980497718,,
"FRA","France","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,31613.0285959306,,
"FRA","France","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,32420.1943113136,,
"FRA","France","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,32956.7843014626,,
"FRA","France","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,33992.964065117,,
"FRA","France","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,34562.4231906349,,
"FRA","France","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,35290.4044748689,,
"FRA","France","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,35834.5579512201,,
"FRA","France","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,36123.8240956849,,
"FRA","France","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,36580.0534717147,,
"FRA","France","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,36946.371887105,,
"FRA","France","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,37631.0169415715,,
"FRA","France","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,38288.9073514499,,
"DEU","Germany","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,27990.2717623656,,
"DEU","Germany","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,28762.3457494201,,
"DEU","Germany","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,29282.8614022326,,
"DEU","Germany","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,29775.0307745555,,
"DEU","Germany","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,30061.8344305793,,
"DEU","Germany","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,30469.9015067295,,
"DEU","Germany","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,30820.2330275682,,
"DEU","Germany","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,31269.2695329444,,
"DEU","Germany","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,31997.5128134847,,
"DEU","Germany","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,31992.1760986448,,
"DEU","Germany","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,32767.4266674284,,
"DEU","Germany","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,34005.7040261763,,
"DEU","Germany","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,34898.874703443,,
"DEU","Germany","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,35686.7116856135,,
"DEU","Germany","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,36583.5175246365,,
"DEU","Germany","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,37611.2937570707,,
"DEU","Germany","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,38392.6632109274,,
"DEU","Germany","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,39365.9806555497,,
"DEU","Germany","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,40521.6435277759,,
"GRC","Greece","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,13901.6191308189,,
"GRC","Greece","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,14597.8555287533,,
"GRC","Greece","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,16275.0013048568,,
"GRC","Greece","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,17418.5672255441,,
"GRC","Greece","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,18324.9511168084,,
"GRC","Greece","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,18804.9006270765,,
"GRC","Greece","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,19644.2966897469,,
"GRC","Greece","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,20363.9321376911,,
"GRC","Greece","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,20916.6682102859,,
"GRC","Greece","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,22113.1962778282,,
"GRC","Greece","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,21382.4156540125,,
"GRC","Greece","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,20440.3821290118,,
"GRC","Greece","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,19599.7996185453,,
"GRC","Greece","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,18002.4075005286,,
"GRC","Greece","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,17872.8725413998,,
"GRC","Greece","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,17439.6202651321,,
"GRC","Greece","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,17261.9176693467,,
"GRC","Greece","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,17334.3787237516,,
"GRC","Greece","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,17511.7751784274,,
"HUN","Hungary","CPNCU","Current prices in NCU","2000","2000","HUF","Forint","0","Units",,,1258705.34466289,,
"HUN","Hungary","CPNCU","Current prices in NCU","2001","2001","HUF","Forint","0","Units",,,1479816.16353451,,
"HUN","Hungary","CPNCU","Current prices in NCU","2002","2002","HUF","Forint","0","Units",,,1648483.89450672,,
"HUN","Hungary","CPNCU","Current prices in NCU","2003","2003","HUF","Forint","0","Units",,,1881537.59331164,,
"HUN","Hungary","CPNCU","Current prices in NCU","2004","2004","HUF","Forint","0","Units",,,2104214.02617795,,
"HUN","Hungary","CPNCU","Current prices in NCU","2005","2005","HUF","Forint","0","Units",,,2266794.73710466,,
"HUN","Hungary","CPNCU","Current prices in NCU","2006","2006","HUF","Forint","0","Units",,,2384026.20640296,,
"HUN","Hungary","CPNCU","Current prices in NCU","2007","2007","HUF","Forint","0","Units",,,2502598.27553324,,
"HUN","Hungary","CPNCU","Current prices in NCU","2008","2008","HUF","Forint","0","Units",,,2674938.69578862,,
"HUN","Hungary","CPNCU","Current prices in NCU","2009","2009","HUF","Forint","0","Units",,,2680368.74720033,,
"HUN","Hungary","CPNCU","Current prices in NCU","2010","2010","HUF","Forint","0","Units",,,2812096.83713917,,
"HUN","Hungary","CPNCU","Current prices in NCU","2011","2011","HUF","Forint","0","Units",,,2915503.63074181,,
"HUN","Hungary","CPNCU","Current prices in NCU","2012","2012","HUF","Forint","0","Units",,,2987223.71094065,,
"HUN","Hungary","CPNCU","Current prices in NCU","2013","2013","HUF","Forint","0","Units",,,3048872.35550999,,
"HUN","Hungary","CPNCU","Current prices in NCU","2014","2014","HUF","Forint","0","Units",,,3048051.12555155,,
"HUN","Hungary","CPNCU","Current prices in NCU","2015","2015","HUF","Forint","0","Units",,,2959028.01151387,,
"HUN","Hungary","CPNCU","Current prices in NCU","2016","2016","HUF","Forint","0","Units",,,3090042.36479033,,
"HUN","Hungary","CPNCU","Current prices in NCU","2017","2017","HUF","Forint","0","Units",,,3382209.30189783,,
"HUN","Hungary","CPNCU","Current prices in NCU","2018","2018","HUF","Forint","0","Units",,,3795606.0271691,,
"IRL","Ireland","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,28603.6155330658,,
"IRL","Ireland","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,30751.1040345812,,
"IRL","Ireland","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,32497.6644320223,,
"IRL","Ireland","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,34648.0602081702,,
"IRL","Ireland","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,36360.7944207875,,
"IRL","Ireland","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,38327.8344686374,,
"IRL","Ireland","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,39725.0511245735,,
"IRL","Ireland","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,42126.8647554247,,
"IRL","Ireland","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,44320.0151229963,,
"IRL","Ireland","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,44386.0909478814,,
"IRL","Ireland","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,43918.4080191834,,
"IRL","Ireland","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,44380.2572531971,,
"IRL","Ireland","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,44649.8273281063,,
"IRL","Ireland","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,43965.7831744932,,
"IRL","Ireland","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,44102.7927186948,,
"IRL","Ireland","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,45151.1717967278,,
"IRL","Ireland","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,46082.4844111322,,
"IRL","Ireland","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,46146.4013987444,,
"IRL","Ireland","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,47605.0646366226,,
"ITA","Italy","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,21289.1541676912,,
"ITA","Italy","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,21958.2744817865,,
"ITA","Italy","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,22443.1175078714,,
"ITA","Italy","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,23064.3075006993,,
"ITA","Italy","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,24104.7913132577,,
"ITA","Italy","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,24896.1110135854,,
"ITA","Italy","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,25717.0392702507,,
"ITA","Italy","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,26277.7527411101,,
"ITA","Italy","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,27121.7470026622,,
"ITA","Italy","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,27157.9265994023,,
"ITA","Italy","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,27808.5755382797,,
"ITA","Italy","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,28166.1868412159,,
"ITA","Italy","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,28059.2301258632,,
"ITA","Italy","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,28439.3204580237,,
"ITA","Italy","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,28623.0916189028,,
"ITA","Italy","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,28919.1899493692,,
"ITA","Italy","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,29191.6912273794,,
